CUSTOMER_ID;NAME;CUSTOMER_AGE;GENDER;EDUCATION_LEVEL;MARITAL_STATUS;INCOME_CATEGORY;STATE
768805383;Kenza Bacha;45;F;High School;Married;$60K - $80K;Virginia
818770008;Lina Bogisich;49;F;Graduate;Single;Less than $40K;New York
713982108;Prof. Shanon Braun PhD;51;M;Graduate;Married;$80K - $120K;Maryland
769911858;Jacinthe Stokes;40;F;High School;Unknown;Less than $40K;Virginia
709106358;Herman Goyette;40;M;Uneducated;Married;$60K - $80K;Connecticut
713061558;Erica Hettinger;44;M;Graduate;Married;$40K - $60K;Maine
810347208;Mrs. Cecelia Rempel;51;M;Unknown;Married;$120K +;New Jersey
818906208;Yvette Johns IV;32;M;High School;Unknown;$60K - $80K;Indiana
710930508;Neva Ullrich;37;M;Uneducated;Single;$60K - $80K;Connecticut
719661558;Mrs. Juanita Bosco III;48;M;Graduate;Single;$80K - $120K;North Carolina
708790833;Julian Ledner;42;M;Uneducated;Unknown;$120K +;New Hampshire
710821833;Miss Helena Gulgowski;65;M;Unknown;Married;$40K - $60K;Nebraska
710599683;Cassandre Cassin;56;M;College;Single;$80K - $120K;South Dakota
816082233;Krystina Homenick;35;M;Graduate;Unknown;$60K - $80K;Ohio
712396908;Larue Jacobs;57;F;Graduate;Married;Less than $40K;Ohio
714885258;Emmanuelle Powlowski;44;M;Unknown;Unknown;$80K - $120K;Maine
709967358;Sigurd Upton;48;M;Post-Graduate;Single;$80K - $120K;Florida
753327333;Jaunita Willms;41;M;Unknown;Married;$80K - $120K;South Dakota
806160108;William Corwin;61;M;High School;Married;$40K - $60K;New Jersey
709327383;Mrs. Priscilla Weimann II;45;F;Graduate;Married;Unknown;Missouri
806165208;Miss Brandyn Bartell V;47;M;Doctorate;Divorced;$60K - $80K;Kentucky
708508758;Mr. Mateo Collins DVM;62;F;Graduate;Married;Less than $40K;Alaska
784725333;Mabelle Labadie;41;M;High School;Married;$40K - $60K;New Mexico
811604133;Donavon Jakubowski;47;F;Unknown;Single;Less than $40K;Missouri
789124683;Jerel Williamson;54;M;Unknown;Married;$80K - $120K;Arkansas
771071958;Skye Graham V;41;F;Graduate;Single;Less than $40K;Utah
720466383;Adolphus Lind;59;M;High School;Unknown;$40K - $60K;North Dakota
804424383;Lemuel Luettgen;63;M;Unknown;Married;$60K - $80K;California
718813833;Prof. Janiya Satterfield;44;F;Uneducated;Single;Unknown;Oklahoma
806624208;Frank Bode;47;M;High School;Married;$40K - $60K;Connecticut
778348233;Everardo Schmidt;53;M;Unknown;Married;$80K - $120K;Georgia
712991808;Murray Buckridge;53;M;Uneducated;Married;$60K - $80K;Kansas
709029408;Pearl Hettinger III;41;M;Graduate;Married;$60K - $80K;South Carolina
788658483;Miss Therese O'Keefe;53;F;College;Married;Less than $40K;Colorado
787937058;Kellen Johnson;58;M;Graduate;Married;$80K - $120K;Arkansas
715318008;Thurman Schaden IV;55;F;College;Single;Less than $40K;Hawaii
713962233;Ms. Graciela Parker V;55;F;Graduate;Married;Less than $40K;Connecticut
785432733;Concepcion Kautzer DVM;42;F;High School;Married;Less than $40K;Florida
715190283;Kenyatta Runolfsdottir;57;F;Graduate;Unknown;$40K - $60K;Texas
708300483;Eleanore Marks MD;66;F;Doctorate;Married;Unknown;Rhode Island
827111283;Mozell Kertzmann;45;M;Graduate;Single;$80K - $120K;Maryland
758551608;Lon Eichmann;51;M;Unknown;Married;$40K - $60K;Wyoming
773146383;Miss Lupe Heathcote;50;F;College;Single;$40K - $60K;Missouri
